age,gender,beber_agua,comer,ler_razoes,relaxamento,tentou_parar
0.6596,1,1,1,0,1,1
0.3830,0,1,1,1,1,1
0.5319,1,0,0,0,0,1
0.1702,0,0,0,0,0,0
0.4255,1,0,0,0,1,0
0.3404,1,0,0,0,0,1
0.4468,1,1,1,1,1,1
0.4043,1,0,0,0,0,1
0.4894,0,1,0,0,0,1
0.1277,0,0,0,0,0,1
0.2128,0,0,0,0,0,1
0.5745,1,1,1,1,1,1
0.9574,0,1,0,0,0,1
0.3617,1,1,0,1,0,1
0.7234,0,1,0,0,1,1
0.5532,1,0,0,0,1,0
0.2128,0,1,0,0,1,1
0.6596,0,0,0,0,0,1
0.8085,1,0,0,0,0,0
0.6596,1,1,1,0,0,0
0.7234,1,0,0,0,0,0
0.0213,0,0,0,0,0,1
0.4255,0,1,0,0,1,1
0.3191,1,0,0,0,0,1
0.4894,0,1,0,0,1,1
0.8936,0,1,0,1,1,1
0.3191,1,0,0,0,0,1
0.0851,0,1,0,0,1,1
0.4468,0,1,1,0,0,1
0.4681,1,0,0,0,0,0
0.6170,0,0,0,0,0,0
0.1915,0,1,0,0,1,1
0.2553,0,0,0,0,0,1
0.1277,0,1,0,0,0,1
0.7660,1,1,0,0,0,1
0.3404,1,0,0,1,0,1
0.0851,0,1,1,0,0,1
0.1702,0,1,1,1,0,0
0.3617,0,1,1,0,0,1
0.1915,1,0,0,0,0,0
0.3191,0,0,1,0,0,1
0.4468,1,0,0,0,0,1
0.1277,0,0,0,0,0,0
0.6383,1,0,0,0,0,1
0.2766,0,1,0,0,0,1
0.7872,0,1,0,0,0,1
0.8511,0,1,0,0,0,1
0.3617,1,1,0,0,1,1
0.2979,1,1,0,0,0,1
0.0638,0,0,0,0,1,1
0.7660,1,1,0,1,1,1
0.8085,1,0,0,0,0,1
0.7660,0,0,0,0,0,0
0.4681,1,0,0,0,0,1
0.3191,1,0,0,0,0,1
0.1277,1,0,0,0,0,1
0.2766,1,0,0,0,0,0
0.7447,1,0,0,0,1,0
0.3404,0,0,0,0,0,1
0.7021,0,1,0,0,0,0
0.3404,1,1,1,0,0,0
0.6809,1,0,0,0,0,1
0.9362,0,1,0,0,0,1
0.4681,1,0,0,0,1,1
0.6170,0,1,1,0,0,1
0.4681,0,1,1,1,0,0
0.3404,1,1,1,0,1,0
0.7447,1,0,0,0,0,1
0.2553,1,1,0,0,0,1
0.4043,1,1,0,0,1,1
0.4468,0,0,0,0,0,0
0.3404,1,0,0,0,0,1
0.2979,0,1,0,1,1,1
0.7021,1,1,1,0,0,1
0.9787,1,0,0,0,0,1
0.5106,0,1,0,0,0,0
0.3830,0,0,0,0,0,1
0.2766,0,1,0,0,0,1
0.3617,1,1,0,0,0,1
0.1277,0,0,0,0,0,1
0.0213,1,0,0,0,0,0
0.3830,0,0,0,0,0,0
0.9362,0,0,1,0,0,1
0.6596,0,0,0,0,1,1
0.0000,0,1,0,0,0,1
1.0000,1,1,0,0,0,1
0.1915,0,1,1,1,0,1
0.2766,0,1,1,0,1,1
0.1489,1,0,0,0,1,0
0.7660,1,0,0,0,0,0
0.7872,1,1,1,1,1,1
0.2128,1,1,1,1,0,1
0.7021,1,0,0,0,0,0
0.2766,1,0,0,0,0,0
0.5532,1,1,1,0,0,1
0.5319,0,1,1,1,1,0
0.6596,1,0,0,0,0,1
0.1702,1,0,0,0,0,0
0.3830,1,1,1,1,1,0
