"user_id","page_id","relevant"
805,1,1
805,2,1
805,3,1
805,4,1
830,2,1
830,3,1
830,5,1
830,7,1
830,8,1
830,9,1
830,6,1
850,1,1
850,2,1
850,3,1
850,4,1
850,5,1
850,7,1
850,8,1
850,9,1
850,6,1
855,2,1
855,3,1
855,4,1
855,5,1
855,7,1
855,8,1
855,9,1
867,1,1
867,2,1
867,3,1
867,4,1
867,5,1
867,7,1
867,8,1
867,9,1
867,6,1
889,3,1
889,5,1
889,7,1
889,6,1
895,6,1
913,5,1
913,7,1
913,8,1
913,9,1
913,6,1
922,1,1
922,2,1
922,3,1
922,4,1
922,5,1
922,7,1
922,8,1
922,9,1
933,1,1
933,2,1
933,3,1
933,4,1
933,5,1
933,7,1
933,8,1
933,9,1
933,6,1
947,1,1
947,2,1
947,3,1
947,4,1
947,5,1
947,7,1
947,8,1
947,9,1
947,6,1
959,4,1
959,5,1
959,7,1
959,8,1
959,9,1
959,6,1
981,3,1
981,4,1
981,5,1
981,7,1
981,8,1
981,9,1
981,6,1
1002,1,1
1002,2,1
1002,3,1
1002,4,1
1002,5,1
1002,7,1
1002,8,1
1002,9,1
1002,6,1
1005,2,1
1085,2,1
1122,1,1
1124,2,1
1124,3,1
1124,5,1
1150,6,1
1154,1,1
1154,2,1
1154,3,1
1154,5,1
1154,7,1
1154,8,1
1154,9,1
1154,6,1
1170,3,1
1188,1,1
1188,2,1
1188,3,1
1188,4,1
1188,5,1
1188,7,1
1188,8,1
1188,9,1
1251,3,1
1251,5,1
1251,7,1
1251,9,1
1292,1,1
1292,2,1
1292,3,1
1292,4,1
1292,5,1
1292,7,1
1292,8,1
1292,9,1
1292,6,1
1298,2,1
1298,3,1
1298,4,1
1298,5,1
1298,7,1
1298,9,1
1298,6,1
1301,2,1
1301,3,1
1315,1,1
1315,2,1
1315,3,1
1315,4,1
1315,5,1
1315,7,1
1315,8,1
1315,9,1
1315,6,1
1322,2,1
1322,3,1
1322,8,1
1322,9,1
1329,1,1
1329,3,1
1365,7,0
1378,4,1
1378,5,1
1378,7,1
1378,8,1
1378,9,1
1378,6,1
1384,3,1
1384,4,1
1384,5,1
1384,7,1
1384,8,1
1384,9,1
1384,6,1
1385,1,1
1385,2,1
1385,3,1
1385,4,1
1385,5,1
1385,7,1
1385,8,1
1385,9,1
1385,6,1
1419,6,1
1421,3,1
1421,5,1
1421,7,1
1421,8,1
1421,9,1
1423,1,1
1423,2,1
1423,9,1
1438,3,1
1438,5,1
1438,7,1
1438,8,1
1438,9,1
1438,6,1
1455,1,1
1455,2,1
1455,4,1
1455,5,1
1455,7,1
1455,8,1
1455,9,1
1455,6,1
1457,1,1
1457,2,1
1457,3,1
1457,5,1
1457,7,1
1457,8,1
1457,9,1
1460,1,1
1460,2,1
1460,3,1
1460,4,1
